scope,model,resampling,split,precision,recall,f1,roc_auc,pr_auc
overnight,random_forest,none,validation,0.5448113207547169,0.648876404494382,0.5923076923076923,0.5313791228706053,0.5579418651645294
overnight,random_forest,none,test,0.5021459227467812,0.7112462006079028,0.5886792452830188,0.5132629224427949,0.5075383018891286
overnight,hist_gradient_boosting,none,validation,0.5625,0.6825842696629213,0.616751269035533,0.5361634650235593,0.567194370210184
overnight,hist_gradient_boosting,none,test,0.4923747276688453,0.6869300911854104,0.5736040609137056,0.4839230470899137,0.48182706709582945
overnight,logistic_regression,upsample,validation,0.5443037974683544,0.48314606741573035,0.5119047619047619,0.49623051830373327,0.5223143265380226
overnight,logistic_regression,upsample,test,0.4988179669030733,0.6413373860182371,0.5611702127659575,0.5000586256347352,0.4804476898035092
overnight,random_forest,upsample,validation,0.5525606469002695,0.5758426966292135,0.5639614855570839,0.5324121058354476,0.5595265300490806
overnight,random_forest,upsample,test,0.4953051643192488,0.6413373860182371,0.5589403973509933,0.5170780983647958,0.5050137810962532
overnight,hist_gradient_boosting,upsample,validation,0.5382585751978892,0.5730337078651685,0.5551020408163265,0.5155944182674882,0.5557316138912503
overnight,hist_gradient_boosting,upsample,test,0.4881516587677725,0.6261398176291794,0.5486018641810919,0.48885661973609446,0.48211048994025824
overnight,logistic_regression,smote,validation,0.5441176470588235,0.5196629213483146,0.5316091954022989,0.49915730337078656,0.5280346999355437
overnight,logistic_regression,smote,test,0.49882903981264637,0.6474164133738601,0.5634920634920635,0.5001127416052601,0.4793234104409831
overnight,random_forest,smote,validation,0.558974358974359,0.6123595505617978,0.5844504021447721,0.5432040594418267,0.5730692360294527
overnight,random_forest,smote,test,0.5147392290249433,0.6899696048632219,0.5896103896103896,0.5159055856700909,0.49793808008506135
overnight,hist_gradient_boosting,smote,validation,0.5404040404040404,0.601123595505618,0.5691489361702128,0.4972635012685756,0.5443056602879388
overnight,hist_gradient_boosting,smote,test,0.5,0.6200607902735562,0.55359565807327,0.5011499643736528,0.4934092030927018
